시도,평균,여가활용 만족도,노인여가복지시설 수,도서관 수,문화기반시설 수,체육관련 여가시설 수
경기도 광명시,0.2223,0.5378,0.157,0.3507,0.2212,0.2254
경기도 평택시,0.2951,0.812,0.3595,0.2128,0.2115,0.1648
경기도 동두천시,0.2116,0.4778,0.2588,0.1353,0.3385,0.2422
경기도 안산시,0.2747,0.5823,0.1751,0.2702,0.2547,0.4031
경기도 고양시,0.2897,0.7801,0.1909,0.2317,0.2332,0.3049
경기도 과천시,0.5638,0.9531,0.1768,0.5301,0.8863,0.2045
경기도 구리시,0.252,0.8316,0.2246,0.1728,0.2212,0.1513
경기도 남양주시,0.309,0.5128,0.2338,0.4534,0.2575,0.3541
경기도 오산시,0.3735,0.5626,0.2491,0.5185,0.3162,0.4032
경기도 시흥시,0.4324,0.6493,0.2482,0.5668,0.2325,0.5696
경기도 군포시,0.3326,0.9316,0.172,0.4373,0.216,0.1416
경기도 의왕시,0.3558,0.7571,0.2175,0.6043,0.2975,0.1076
경기도 하남시,0.2935,0.8409,0.1866,0.3277,0.2076,0.1916
경기도 용인시,0.2485,0.5626,0.2588,0.253,0.2618,0.2525
경기도 파주시,0.466,0.8379,0.2705,0.6049,0.4243,0.2529
경기도 이천시,0.4178,0.3148,0.5111,0.6484,0.3166,0.4216
경기도 안성시,0.5242,0.6446,0.5787,0.4051,0.3321,0.6441
경기도 김포시,0.2691,0.7532,0.2524,0.2302,0.215,0.2139
경기도 화성시,0.3607,0.4628,0.3575,0.7035,0.2369,0.2415
경기도 광주시,0.2677,0.6305,0.2379,0.1386,0.2676,0.3847
경기도 양주시,0.5063,0.5774,0.302,0.7365,0.3365,0.5866
경기도 포천시,0.5181,0.4828,0.4075,0.4103,0.4649,0.8169
경기도 여주시,0.5813,0.4429,0.5391,0.4904,0.8793,0.4637
경기도 연천군,0.7067,0.4479,0.3749,0.9407,0.5468,0.967
경기도 가평군,0.6209,0.9424,0.4059,0.5994,0.7442,0.2691
경기도 양평군,0.6428,0.9932,0.489,0.3937,0.7661,0.4
강원도 춘천시,0.3742,0.342,0.2888,0.1654,0.4391,0.8166
강원도 원주시,0.5222,0.5577,0.3298,0.5407,0.3142,0.8552
강원도 강릉시,0.5634,0.5969,0.2816,0.3058,0.7275,0.8374
강원도 동해시,0.5987,0.6539,0.2731,0.6875,0.3499,0.9147
강원도 태백시,0.7228,0.1719,0.3987,0.9769,0.7961,0.9929
강원도 속초시,0.4105,0.433,0.2411,0.2348,0.5438,0.733
