시도,평균,자살률,1인가구 비율,독거노인가구 비율,사회적기업 수,가족관계 만족도
경기도 광명시,0.9014,0.8909,0.818,0.8104,0.2203,0.8309
경기도 평택시,0.3863,0.717,0.2334,0.8197,0.1349,0.4319
경기도 동두천시,0.4181,0.2293,0.5968,0.5779,0.0906,0.9184
경기도 안산시,0.3177,0.4947,0.2029,0.862,0.2737,0.3393
경기도 고양시,0.7029,0.8434,0.7316,0.8375,0.2505,0.4319
경기도 과천시,0.92,0.8974,0.9549,0.8151,0.1738,0.7737
경기도 구리시,0.6446,0.8649,0.771,0.8418,0.2561,0.2217
경기도 남양주시,0.8731,0.8724,0.9136,0.846,0.2337,0.637
경기도 오산시,0.568,0.8953,0.1495,0.8969,0.1796,0.6506
경기도 시흥시,0.4479,0.709,0.3158,0.8905,0.4805,0.0886
경기도 군포시,0.9343,0.9349,0.8124,0.8287,0.1789,0.8942
경기도 의왕시,0.8661,0.8434,0.8537,0.846,0.1877,0.7551
경기도 하남시,0.5394,0.7627,0.6285,0.8541,0.2709,0.1873
경기도 용인시,0.8206,0.8377,0.771,0.8804,0.1807,0.707
경기도 파주시,0.8055,0.6718,0.6744,0.8332,0.3769,0.7845
경기도 이천시,0.5314,0.7516,0.507,0.8104,0.2805,0.3348
경기도 안성시,0.4324,0.6371,0.28,0.737,0.3709,0.4224
경기도 김포시,0.6917,0.8772,0.771,0.8696,0.1841,0.3663
경기도 화성시,0.6861,0.7365,0.3382,0.9061,0.293,0.781
경기도 광주시,0.6939,0.8259,0.6669,0.8838,0.1395,0.5573
경기도 양주시,0.7096,0.4573,0.7582,0.7857,0.5192,0.5906
경기도 포천시,0.2324,0.3662,0.3612,0.6769,0.2844,0.2795
경기도 여주시,0.3756,0.462,0.5888,0.6383,0.2373,0.3848
경기도 연천군,0.2145,0.1588,0.4575,0.3712,0.2064,0.7316
경기도 가평군,0.2763,0.5693,0.4493,0.4183,0.1662,0.4703
경기도 양평군,0.4959,0.7288,0.5807,0.4806,0.1276,0.6815
강원도 춘천시,0.694,0.5601,0.2397,0.7136,0.6219,0.9383
강원도 원주시,0.6389,0.4295,0.1914,0.7647,0.6833,0.8728
강원도 강릉시,0.4982,0.2664,0.1914,0.5847,0.6553,0.9069
강원도 동해시,0.6288,0.448,0.6594,0.5503,0.2819,0.978
강원도 태백시,0.3939,0.2587,0.5726,0.3646,0.5828,0.5764
강원도 속초시,0.6317,0.0499,0.3612,0.5779,0.9957,0.9397
강원도 삼척시,0.6598,0.7627,0.2397,0.3515,0.6386,0.9993
강원도 홍천군,0.4133,0.0709,0.6048,0.3778,0.3649,0.9831
강원도 횡성군,0.679,0.3272,0.7037,0.3322,0.7395,0.9353
강원도 영월군,0.7109,0.5601,0.4822,0.2114,0.942,0.9184
강원도 평창군,0.4582,0.038,0.4575,0.3072,0.7976,0.9089
강원도 정선군,0.5307,0.0647,0.4493,0.295,0.9984,0.8753
강원도 철원군,0.4799,0.2293,0.7517,0.4806,0.2008,0.8985
강원도 화천군,0.514,0.448,0.1401,0.4736,0.6936,0.8874
강원도 양구군,0.2445,0.1559,0.2209,0.5641,0.0906,0.9656
강원도 인제군,0.9047,0.8167,0.2462,0.5294,0.9999,0.986
강원도 고성군,0.5825,0.7479,0.2271,0.2542,0.6201,0.9575
강원도 양양군,0.4732,0.1826,0.5235,0.2542,0.6382,0.9467
충청북도 충주시,0.2071,0.2328,0.2029,0.6251,0.3233,0.5236
충청북도 제천시,0.4601,0.4112,0.3927,0.5225,0.6445,0.5429
충청북도 청주시,0.3781,0.4203,0.2397,0.8007,0.539,0.3173
충청북도 보은군,0.3907,0.2293,0.8762,0.0923,0.7649,0.3848
충청북도 옥천군,0.6194,0.1345,0.9199,0.2376,0.9128,0.6901
충청북도 영동군,0.3546,0.014,0.6285,0.1777,0.9269,0.5139
충청북도 진천군,0.3338,0.192,0.273,0.6706,0.4385,0.637
충청북도 괴산군,0.1679,0.1246,0.4493,0.1601,0.4382,0.6416
충청북도 음성군,0.346,0.3574,0.0822,0.6118,0.3549,0.8339
충청북도 단양군,0.3599,0.323,0.6965,0.1917,0.9572,0.1052
충청북도 증평군,0.483,0.5877,0.2334,0.6449,0.4609,0.6416
충청남도 천안시,0.461,0.4527,0.0624,0.8658,0.2672,0.8677
충청남도 공주시,0.3977,0.4527,0.3535,0.4389,0.6488,0.4703
충청남도 보령시,0.1416,0.0064,0.6744,0.3778,0.2556,0.4367
충청남도 아산시,0.5856,0.6371,0.2334,0.7958,0.4973,0.6506
충청남도 서산시,0.4061,0.2981,0.4904,0.6642,0.2944,0.637
충청남도 논산시,0.3563,0.2401,0.6048,0.3259,0.5036,0.5906
충청남도 계룡시,1,0.9271,0.8884,0.8418,0.2095,0.9397
충청남도 당진시,0.4928,0.7627,0.2334,0.6955,0.305,0.5953
충청남도 금산군,0.3199,0.1295,0.507,0.2431,0.4865,0.8119
충청남도 부여군,0.6508,0.713,0.8844,0.1247,0.3751,0.8728
충청남도 서천군,0.6825,0.1152,0.9199,0.0786,0.9818,0.9505
충청남도 청양군,0.2398,0.1764,0.8011,0.1044,0.5377,0.3663
충청남도 홍성군,0.3028,0.0576,0.4739,0.4666,0.4233,0.7153
충청남도 예산군,0.3786,0.0292,0.8339,0.2598,0.2237,0.9716
충청남도 태안군,0.3153,0.1504,0.5888,0.3011,0.2723,0.8542
전라북도 전주시,0.8702,0.8649,0.3012,0.7593,0.7649,0.8052
전라북도 군산시,0.3227,0.4021,0.369,0.6383,0.5078,0.2674
전라북도 익산시,0.3905,0.4388,0.3085,0.6051,0.4373,0.5573
전라북도 정읍시,0.5178,0.2438,0.7772,0.187,0.6224,0.8215
전라북도 남원시,0.5118,0.4713,0.8124,0.1688,0.5252,0.6595
전라북도 김제시,0.2215,0.0019,0.8844,0.1076,0.6135,0.3348
전라북도 완주군,0.5971,0.713,0.3458,0.571,0.5523,0.6595
전라북도 진안군,0.334,0.132,0.8537,0.0643,0.9869,0.1745
전라북도 무주군,0.3613,0.1,0.8287,0.0839,0.3457,0.9184
