시도,평균,사회안전에 대한 인식,cctv,응급의료기관,지역경찰관서 수,교통사고 및 화재
경기도 안산시,0.4194,0.0943,0.2389,0.4464,0.5472,0.9492
경기도 고양시,0.2593,0.0619,0.2713,0.2044,0.4026,0.8638
경기도 과천시,0.5269,0.3194,0.9085,0.1059,0.3953,0.8638
경기도 구리시,0.4206,0.098,0.3646,0.4347,0.5185,0.8638
경기도 남양주시,0.2716,0.073,0.3434,0.2069,0.353,0.8638
경기도 오산시,0.4564,0.0823,0.4833,0.4029,0.4674,0.9492
경기도 시흥시,0.3102,0.122,0.3174,0.2246,0.4261,0.8638
경기도 군포시,0.4638,0.1036,0.4766,0.3257,0.5517,0.9492
경기도 의왕시,0.4408,0.0701,0.6333,0.2204,0.4299,0.9852
경기도 하남시,0.1968,0.1157,0.295,0.1059,0.3916,0.7117
경기도 용인시,0.399,0.1905,0.6593,0.1502,0.3519,0.8638
경기도 파주시,0.1751,0.1095,0.1818,0.2235,0.3291,0.7117
경기도 이천시,0.2407,0.073,0.4102,0.4135,0.3448,0.5075
경기도 안성시,0.0707,0.0632,0.3857,0.3273,0.3269,0.1446
경기도 김포시,0.2981,0.0745,0.437,0.1838,0.3592,0.8638
경기도 화성시,0.1456,0.0701,0.3864,0.1691,0.3357,0.5075
경기도 광주시,0.197,0.155,0.2741,0.1476,0.3319,0.7117
경기도 양주시,0.2128,0.0568,0.5747,0.1815,0.3463,0.5075
경기도 포천시,0.1127,0.1736,0.4256,0.3927,0.3249,0.0549
경기도 여주시,0.2874,0.2306,0.5027,0.5281,0.3241,0.3014
경기도 연천군,0.3704,0.1848,0.6766,0.6553,0.3135,0.3014
경기도 가평군,0.4336,0.3506,0.8896,0.4683,0.308,0.3014
경기도 양평군,0.3619,0.2609,0.7494,0.2692,0.3193,0.5075
강원도 춘천시,0.2573,0.6465,0.2172,0.3219,0.3111,0.3014
강원도 원주시,0.2228,0.4117,0.1917,0.2718,0.3135,0.5075
강원도 강릉시,0.3929,0.8272,0.2089,0.5529,0.3073,0.3014
강원도 동해시,0.4471,0.7188,0.3614,0.6418,0.3342,0.3014
강원도 태백시,0.5021,0.9007,0.4982,0.6522,0.3241,0.1446
강원도 속초시,0.5777,0.8719,0.325,0.7097,0.3284,0.5075
강원도 삼척시,0.3152,0.8531,0.3216,0.4317,0.3073,0.0549
강원도 홍천군,0.5624,0.9547,0.5099,0.4219,0.3033,0.5075
강원도 횡성군,0.7374,0.9385,0.6295,0.6277,0.3061,0.7117
강원도 영월군,0.885,0.9933,0.912,0.7267,0.3049,0.7117
강원도 평창군,0.3591,0.8244,0.2335,0.6836,0.3017,0.0549
강원도 정선군,0.9585,0.8507,1,0.996,0.307,0.7117
강원도 철원군,0.4033,0.6662,0.574,0.6317,0.3016,0.0549
강원도 화천군,0.7363,0.6505,0.5888,0.9539,0.3052,0.7117
강원도 양구군,0.9071,0.9044,0.8181,0.9709,0.3087,0.7117
강원도 인제군,0.6855,0.8431,0.9208,0.851,0.3011,0.1446
강원도 고성군,0.462,0.8764,0.6055,0.1059,0.3062,0.5075
강원도 양양군,0.4523,0.8604,0.9527,0.1059,0.3094,0.1446
충청북도 충주시,0.3199,0.8405,0.2381,0.2912,0.3115,0.3014
충청북도 제천시,0.3987,0.8379,0.4874,0.4357,0.3094,0.1446
충청북도 청주시,0.4489,0.5643,0.4619,0.2924,0.3325,0.7117
충청북도 보은군,0.6734,0.9471,0.6377,0.8253,0.3134,0.3014
충청북도 옥천군,0.7188,0.9834,0.4215,0.5717,0.3181,0.8638
충청북도 영동군,0.656,0.9165,0.6502,0.5914,0.3079,0.5075
충청북도 진천군,0.6791,0.9007,0.4958,0.379,0.3168,0.9492
충청북도 괴산군,0.7031,0.9724,0.5884,0.736,0.308,0.5075
충청북도 음성군,0.5607,0.9774,0.3694,0.3152,0.3189,0.7117
충청북도 단양군,0.6013,0.8352,0.4872,0.8816,0.3068,0.3014
충청북도 증평군,0.5448,0.9197,0.5918,0.1059,0.3167,0.7117
