시도,평균,환경체감도,산업폐수 방류량,녹지지역 비율,미세먼지,생활폐기물배출량
경기도 광명시,0.6023,0.4115,0.6956,0.6103,0.1909,0.7947
경기도 평택시,0.245,0.0767,0.2345,0.2265,0.0081,0.7581
경기도 동두천시,0.5047,0.1765,0.1674,0.7093,0.4801,0.7876
경기도 안산시,0.4483,0.2192,0.1401,0.6313,0.3513,0.7581
경기도 고양시,0.6464,0.4997,0.7181,0.7251,0.2486,0.6844
경기도 과천시,0.7482,0.8947,0.7252,0.8492,0.4152,0.3901
경기도 구리시,0.5781,0.2454,0.6933,0.71,0.1719,0.7876
경기도 남양주시,0.7385,0.6092,0.6147,0.8062,0.2931,0.9133
경기도 오산시,0.4327,0.1957,0.6293,0.5257,0.0396,0.6488
경기도 시흥시,0.3514,0.0719,0.5039,0.6629,0.015,0.4668
경기도 군포시,0.6277,0.6869,0.6269,0.5858,0.1448,0.7581
경기도 의왕시,0.6481,0.4992,0.7186,0.8352,0.1989,0.6304
경기도 하남시,0.7839,0.4807,0.677,0.8148,0.64,0.8016
경기도 용인시,0.642,0.5344,0.5429,0.8644,0.1984,0.7183
경기도 파주시,0.4036,0.6488,0.0964,0.4146,0.1535,0.6118
경기도 이천시,0.2897,0.28,0.0011,0.8469,0.0507,0.3002
경기도 안성시,0.4621,0.4297,0.4831,0.8754,0.0128,0.3531
경기도 김포시,0.6119,0.199,0.6678,0.6836,0.3224,0.8679
경기도 화성시,0.4235,0.1908,0.4866,0.698,0.0631,0.5642
경기도 광주시,0.6372,0.475,0.6973,0.9044,0.0449,0.7183
경기도 양주시,0.2943,0.3893,0.2212,0.7453,0.0918,0.0494
경기도 포천시,0.4173,0.2665,0.2085,0.5912,0.2547,0.6578
경기도 여주시,0.5744,0.8043,0.6505,0.8352,0.2517,0.052
경기도 연천군,0.7912,0.8713,0.0805,0.7664,0.9589,0.7657
경기도 가평군,0.8264,0.8789,0.6586,0.901,0.7332,0.409
경기도 양평군,0.9072,0.9539,0.6805,0.9056,0.4556,0.9011
강원도 춘천시,0.7182,0.6771,0.711,0.8981,0.6776,0.193
강원도 원주시,0.3475,0.3083,0.6715,0.4201,0.0138,0.2917
강원도 강릉시,0.6507,0.8349,0.606,0.4788,0.8891,0.0837
강원도 동해시,0.6233,0.5221,0.5924,0.5244,0.9028,0.2434
강원도 태백시,0.6582,0.8172,0.3367,0.8087,0.9475,0.0118
강원도 속초시,0.6616,0.9219,0.5661,0.5062,0.8891,0.052
강원도 삼척시,0.5679,0.8715,0,0.6053,0.9475,0.144
강원도 홍천군,0.6628,0.9586,0.4256,0.7929,0.2374,0.5254
강원도 횡성군,0.4682,0.9346,0.4619,0.3849,0.0963,0.3002
강원도 영월군,0.8183,0.9629,0.6899,0.77,0.3314,0.7947
강원도 평창군,0.6143,0.8755,0.7042,0.5675,0.3437,0.259
강원도 정선군,0.7956,0.8949,0.6807,0.8181,0.7992,0.267
강원도 철원군,0.6829,0.6242,0.6234,0.6378,0.7051,0.4281
강원도 화천군,0.6507,0.9152,0.7226,0.77,0.4604,0.0245
강원도 양구군,0.6011,0.964,0.6005,0.3414,0.7012,0.0914
강원도 인제군,0.6498,0.9506,0.6737,0.6301,0.6349,0
강원도 고성군,0.6615,0.984,0.6397,0.5426,0.7574,0.0111
강원도 양양군,0.6845,0.9763,0.5636,0.6409,0.8236,0.0206
충청북도 충주시,0.4217,0.4921,0.474,0.6872,0.1213,0.221
충청북도 제천시,0.642,0.6408,0.6759,0.7517,0.0803,0.71
충청북도 청주시,0.2652,0.235,0.0726,0.7813,0.0191,0.2751
충청북도 보은군,0.5971,0.9338,0.6533,0.455,0.0764,0.5642
충청북도 옥천군,0.6766,0.9091,0.6725,0.8526,0.2157,0.344
충청북도 영동군,0.721,0.8559,0.652,0.7511,0.2157,0.693
충청북도 진천군,0.2333,0.5632,0.0184,0.2846,0.1989,0.193
충청북도 괴산군,0.4692,0.8918,0.5903,0.5929,0.0598,0.047
충청북도 음성군,0.3132,0.5646,0.0619,0.1662,0.0684,0.71
충청북도 단양군,0.3703,0.4788,0.0694,0.8331,0.2333,0.1799
충청북도 증평군,0.4169,0.678,0.1441,0.513,0.0679,0.5738
충청남도 천안시,0.2853,0.1859,0.3607,0.497,0.2444,0.1736
충청남도 공주시,0.6178,0.5392,0.669,0.8113,0.5375,0.2067
충청남도 보령시,0.4541,0.2708,0.4125,0.3165,0.7878,0.335
충청남도 아산시,0.215,0.1325,0.0016,0.401,0.4713,0.1799
충청남도 서산시,0.4232,0.1512,0.008,0.3005,0.949,0.5929
충청남도 논산시,0.6138,0.2394,0.6144,0.7552,0.9179,0.221
충청남도 계룡시,0.9096,0.7853,0.6885,0.8835,0.9755,0.5738
충청남도 당진시,0.2107,0.0811,0,0.1248,0.2708,0.693
충청남도 금산군,0.7413,0.7389,0.3215,0.7863,0.8751,0.5254
충청남도 부여군,0.7339,0.594,0.3932,0.8819,0.8924,0.4571
충청남도 서천군,0.5758,0.7439,0.1232,0.4197,0.9772,0.335
충청남도 청양군,0.6956,0.7946,0.3245,0.5959,0.5952,0.7581
충청남도 홍성군,0.561,0.2206,0.6974,0.538,0.3427,0.7426
충청남도 예산군,0.6408,0.3871,0.4599,0.5938,0.8202,0.5929
충청남도 태안군,0.6947,0.4778,0.6264,0.6762,0.9584,0.3262
전라북도 전주시,0.4421,0.3631,0.5274,0.7108,0.027,0.4474
전라북도 군산시,0.1792,0.2748,0.0717,0.1249,0.1563,0.4185
전라북도 익산시,0.3728,0.3092,0.3186,0.4101,0.0238,0.7426
전라북도 정읍시,0.6658,0.9582,0.3655,0.5396,0.3007,0.7876
전라북도 남원시,0.7331,0.8373,0.6025,0.595,0.6065,0.5738
