시도,평균,1인당 지역내총생산,사업체수,종사자수,국민기초생활보장 수급자비율,영세자영업자
전라남도 장성군,0.2061,0.5271,0.3749,0.4429,0.0528,0.3701
전라남도 완도군,0.0996,0.3088,0.5022,0.3146,0.1925,0.0616
전라남도 진도군,0.0593,0.3381,0.549,0.3227,0.0064,0.0167
전라남도 신안군,0.0203,0.364,0.389,0.2538,0.0836,0.0004
경상북도 포항시,0.4484,0.4848,0.4678,0.4387,0.5495,0.7094
경상북도 경주시,0.5391,0.5803,0.5809,0.5836,0.5873,0.6487
경상북도 김천시,0.2879,0.4804,0.3771,0.4394,0.3561,0.4128
경상북도 안동시,0.225,0.4056,0.4748,0.3789,0.2514,0.3259
경상북도 구미시,0.7075,0.8523,0.4672,0.6064,0.8709,0.7978
경상북도 영주시,0.2283,0.4158,0.5283,0.3939,0.1386,0.3718
경상북도 영천시,0.2719,0.4992,0.5104,0.5137,0.0907,0.3933
경상북도 상주시,0.156,0.3565,0.4066,0.3292,0.4374,0.0554
경상북도 문경시,0.1794,0.3243,0.4742,0.3496,0.3141,0.2081
경상북도 경산시,0.4572,0.445,0.4072,0.4844,0.6648,0.6812
경상북도 군위군,0.1921,0.4537,0.4199,0.4065,0.3585,0.0781
경상북도 의성군,0.0567,0.3586,0.3922,0.2743,0.1978,0.0005
경상북도 청송군,0.1531,0.3773,0.4852,0.4275,0.2353,0.0492
경상북도 영양군,,0.3515,0.3979,0.2492,0.0179,0.0002
경상북도 영덕군,0.1274,0.3292,0.6237,0.3281,0.1027,0.0972
경상북도 청도군,0.1835,0.3588,0.5477,0.3921,0.3186,0.0681
경상북도 고령군,0.5104,0.5772,0.7743,0.7338,0.2555,0.5357
경상북도 성주군,0.3541,0.5854,0.5989,0.5406,0.3537,0.2281
경상북도 칠곡군,0.5639,0.4784,0.6073,0.6137,0.6339,0.7377
경상북도 예천군,0.0311,0.365,0.3283,0.2329,0.2014,0.0025
경상북도 봉화군,0.1169,0.4662,0.3972,0.3489,0.1978,0.0326
경상북도 울진군,0.3157,0.6631,0.5397,0.4033,0.1657,0.3953
경상북도 울릉군,0.5682,0.4332,0.8349,0.5224,0.7741,0.5225
경상남도 진주시,0.4046,0.3283,0.5091,0.442,0.5798,0.6315
경상남도 통영시,0.3619,0.4388,0.4789,0.3497,0.4832,0.5846
경상남도 사천시,0.3999,0.5146,0.513,0.5153,0.3372,0.5937
경상남도 김해시,0.5228,0.4259,0.49,0.5003,0.7483,0.7571
경상남도 밀양시,0.207,0.3802,0.4855,0.3654,0.2701,0.2698
경상남도 거제시,0.6011,0.5831,0.2825,0.5617,0.9485,0.8311
경상남도 양산시,0.5173,0.5036,0.386,0.4665,0.7564,0.7887
경상남도 창원시,0.5637,0.5055,0.4557,0.5033,0.8226,0.7835
경상남도 의령군,0.1227,0.4309,0.3479,0.3673,0.2014,0.1162
경상남도 함안군,0.6504,0.7338,0.6817,0.7554,0.5444,0.6712
경상남도 창녕군,0.3175,0.5167,0.5085,0.4678,0.3466,0.3341
경상남도 고성군,0.3232,0.6625,0.4835,0.4361,0.3466,0.2658
경상남도 남해군,0.199,0.324,0.6573,0.3803,0.3028,0.0774
경상남도 하동군,0.1811,0.6457,0.4491,0.3019,0.2453,0.0345
경상남도 산청군,0.1208,0.3852,0.5021,0.3569,0.1594,0.0534
경상남도 함양군,0.1401,0.3423,0.513,0.3566,0.2453,0.07
경상남도 거창군,0.1799,0.4873,0.4147,0.3362,0.3372,0.097
경상남도 합천군,0.0373,0.3264,0.3722,0.2689,0.1788,0.0064
제주특별자치도 제주시,0.425,0.4048,0.5553,0.4624,0.5571,0.5856
제주특별자치도 서귀포시,0.425,0.4048,0.5553,0.4624,0.5571,0.5856
